Unnamed: 0,author,date,text,label,video,LF1,LF2,LF3,LF4,LF5,LF6,LF7,LF8,LF9,LF10,major_label
108,Arianna,2014-11-10T02:18:19,â™«I know someone will see this â™¥ I have a dreamâ€¦ I donâ€™t have the greatest videos or the best quality Right now I feel like i'm not getting anywhere and I need your help â™« If you could possibly watch my videos it means the world to me â™¥ Please thumbs this up so others can seeâ€¦ I appreciate it so much â™¥â™« Please listen before you hate. Honestly i  appreciate it so much  You donâ€™t have to love me just give this 17 year old a chanceï»¿,1,2,1,-1,-1,1,-1,-1,-1,-1,-1,0,1
109,Rafi Hossain,2015-06-05T19:55:08,Honestly speaking except taylor swift and adele i don't lile any of the  modern day singers. But i must say whenever i hear this song i feel  goosebumps. Its quite inspiring!! Thanks miss Perry!ï»¿,0,2,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0
110,Aarjav Parmar,2014-10-18T06:15:45,Man she is BEAUTIFUL!ï»¿,0,2,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0
111,Kwon Kee,2014-11-09T19:35:44,"Hey yall its the real Kevin Hart, shout out to my fans!!! follow me +RealKevinHeart ï»¿",1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
112,FudgePlaysMC,2014-11-10T18:18:08,My 6th grade teacher looked exactly like Katy Perry come to think of it...ï»¿,0,2,1,-1,-1,-1,-1,-1,-1,0,-1,-1,0
113,WeMuckAround,2014-08-16T20:59:28,katy perry will u sit on my face please. it would be really awesome and  i'll give you 5 dollars. ok if you want to do this then please call me and  subscribe to my channel first ok thats good and then u sit on my face and  ill get an erection then you sit more k?ï»¿,1,2,1,1,-1,1,-1,-1,-1,-1,-1,0,1
114,John Bello,2014-08-01T21:04:03,Hey everyone. Watch this trailer!!!!!!!!  http://believemefilm.com?hlr=h2hQBUVBï»¿,1,2,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1
115,Misael Navarro Leon,2014-09-11T20:19:56,Katy has conqueror's haki &gt;:)ï»¿,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
116,Nice Girl,2014-11-10T18:11:36,*KATY YOU ARE A SHIT GO DIE!!!!!ROAR IS A FLOOOOOOOOOOOOOOOOOOOOP*ï»¿,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
117,jay cruz,2014-09-14T13:52:43,looooooooooooooooooooovvvvvvvvveeeeeeeeeeee itttttttttttttï»¿,0,2,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0
118,Brian Schultes,2014-10-25T01:53:36,this song never get's old &lt;3 ï»¿,0,2,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0
119,Jana Trpevska,2014-09-16T10:46:47,Great.This is a songï»¿,0,2,-1,-1,-1,-1,0,-1,0,-1,-1,-1,0
120,Mandeep Kaur,2014-09-16T21:03:17,selfie alertï»¿,0,2,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0
121,abdilefe,2014-10-18T19:09:29,Plz help me getting 1.000 Subscribers tonight/today.  Thanks to all who sub me :)ï»¿,1,2,-1,1,-1,1,-1,-1,-1,-1,-1,0,1
122,Edouard Reyes,2014-09-24T19:31:10,"A  friend of mine has invented a big dick formula. He had a small dick (4  inches) and he did some research about this topic. During the research, he  found out the secret knowledge of penis enlargement. He applied what he  had learned and now he has a 7 inch dick. He was absolutely amazed by his  results. Of course, it took a few months. Therefore, he has written a book  about this issue in order to help guys. He asked me to promote his book :)  So, guys if you are interested and for more info check this out  https://payhip.com/b/oTIb  . He is selling it for symbolic Â£1. Thank you ;)ï»¿",1,2,-1,-1,1,-1,-1,1,-1,-1,-1,0,1
123,J STROMMER,2014-08-11T17:32:00,Take a break from Katie and help me reach 100 subscribers this month!  New  music and free downloads! ï»¿,1,2,-1,1,-1,-1,-1,-1,-1,-1,-1,0,1
124,Sheila Cenabre,2014-08-19T12:33:11,I really love this video.. http://www.bubblews.com/account/389088-sheilcenï»¿,1,2,-1,-1,1,-1,-1,-1,-1,-1,-1,0,1
125,xsilvermistx,2014-11-07T13:17:57,"I've figured out why I dislike this song: it's supposed to be a power  ballad right? Something that's uplifting and motivating by the end.  However, the final chorus has NO extra UMPH at the end and actually sounds  just like the first one. Instead of crescendo-ing into a powerful finish,  ""Roar"" just says on the same wavelength. It falls flat.ï»¿",0,2,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0
126,Rayana Santos,2014-09-30T23:41:57,Katy perry songs aren't that bad ï»¿,0,2,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0
127,NicolÃ¡s Jara,2014-09-10T01:50:55,Click For iTunes code http://shhort.com/a?r=0LaviqU2bï»¿,1,2,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1
128,Chloe Steiner,2014-09-16T04:11:05,"Katy Perry is part of me Katy Perry is my firework Katy Perry, I love youï»¿",0,2,1,-1,-1,-1,-1,-1,-1,0,-1,0,0
129,b0b1t.48058475,2014-10-12T03:45:07,i rekt ur mum last nite. cuz da haterz were 2 much 4 meh lik dis if u cri evertim and sponswer mi robox vidz https://www.indiegogo.com/projects/gimme-dem-moneyz-4-roblox/x/8851222#homeï»¿,1,2,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1
130,Sam Banfield,2014-09-25T19:32:29,My three bigger secrets are: I don't think I'm good enough for me skinny  size. I'm bisexual and I sweat really freaking bad when I'm nervous. -  check out Secret by Austin Mahone's NEW Single!ï»¿,1,2,1,-1,-1,-1,-1,1,-1,-1,-1,0,1
131,D Germain,2014-10-29T21:34:30,please look up DHG SONGS this is my playlist with a bunch of amazing songs ï»¿,1,2,1,-1,-1,1,0,-1,-1,-1,-1,0,0
132,KatyPerry Queen,2014-09-14T09:47:10,Its almost Katys birthday! October 25th Lets say happy birthday to katy!!! â™¥â™¥â™¥â™¥â™¥â™¥ï»¿,0,2,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
133,Robert Kim,2014-09-07T17:13:39,"I'm sorry Katy Perry, I was being weird. I still love you &lt;3ï»¿",0,2,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0
134,Grace R,2014-10-31T01:02:53,https://www.facebook.com/antrobofficialï»¿,1,2,-1,-1,1,-1,-1,-1,0,-1,-1,-1,1
135,DatoJason Jason,2014-09-17T19:52:54,It is a shitï»¿,0,2,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0
136,Neo Joey,2014-09-10T09:09:57,Katy perry is and inspirational singer her voice is awesome and I loved her  so much . She achieved music history and I couldn't believe that . Guys if  you could take 1min to go to my channel and watch my first video I would be  greatly thankful for this :) ty guys N katy is still awesome xoxoï»¿,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
137,Kacy Cluley,2015-06-05T18:59:52,This song means so much to me thank you  soooooooooooooooooooooooooooooooooooooooo much:-) Xxxï»¿,0,2,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0
138,Kane Bradford,2014-10-10T18:09:13,I love this sooooooooooooong I love katy perryï»¿,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
139,Rusty Cohle,2014-08-30T15:22:54,The TREU DETECTIVE alternate ending! __ http://www.funnyordie.com/videos/d15fb87973/true-defectivesï»¿,1,2,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1
140,Alex Lynch,2014-10-14T17:27:28,"C'mon Katy you are so close to 14,000,000 subscribers...come up with  another hit like this and it will happenï»¿",0,2,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1
141,Sheldon Duncombe,2014-09-11T19:09:43,http://www.aaas.org/tech-i/vote#view/25874/2177367 VOTE SHELDON PLEASE  GUYS. GIVE IT 5 STARS. THANKS IN ADVANCEï»¿,1,2,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1
142,MagpiedudeGaming,2014-11-10T15:58:40,I hate videos like these with those poor animals.ï»¿,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
143,nleeklee polowtehow,2014-10-24T01:21:49,"she is a fool. this is a foolish video. the lyrics are all about her and  how great she is. she is arrogant, obviously. but the thing is that there  are a lot of idiots.. look how many hits this garnered. the young stupid  girls who listen to her are numbering in the millions i guess. this video  is a piece of trash. why would anyone ever like it or listen to it? because  these stupid little girls have idiots for fathers and mothers.. and so they  are going to turn into idiots also.. just like this stupid singer. ï»¿",0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
144,michael smith,2014-10-30T05:20:18,00 : 39 Im pretty sure that tiger just wanted a hugï»¿,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
145,Alef Paulo,2014-09-22T14:33:15,Y LOVE YOUï»¿,0,2,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0
146,djh3mi,2014-08-06T21:14:15,hey guys!! visit my channel pleaase (i'm searching a dream)ï»¿,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
147,Merenguette,2014-10-21T04:52:03,this video is great .....!!! I love this........and like much katy perryï»¿,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
148,Magic Johnson,2014-09-16T03:36:41,Katy Perry is garbage. Rihanna is the best singer in the world. ï»¿,0,2,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0
149,Khris Parkhill,2014-11-02T02:37:16,The Perry you're doing a good job good job I love all of their videos and  by the way can you please describe to my channel please please please  please I'm trying to get as many comments to Skyburst lights is a cancer  and get famous pleaseï»¿,1,2,1,-1,-1,1,-1,-1,-1,-1,-1,0,1
150,m450nH,2014-11-05T18:30:45,"DAMNNNNNNNN, she is sexy O_Oï»¿",0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
151,Maryam Yassine,2014-10-08T12:39:49,OMG I LOVE YOU KATY PARRY YOUR SONGS ROCK!!!!!!!!!!!!!!!!! THATS A TOTAL  SUBSCRIBEï»¿,0,2,-1,1,-1,-1,0,-1,-1,-1,-1,0,0
152,roflcopter2110,2014-09-19T23:18:41,http://thepiratebay.se/torrent/10626048/The.Expendables.3.2014.DVDScr.LEAKED.CLEAN.XviD.MP3-RARBG ï»¿,1,2,-1,-1,1,-1,-1,-1,0,-1,-1,-1,0
153,Wonderfulkid,2014-09-27T01:46:14,I love her green eyesï»¿,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
154,NeverGreen35,2014-10-28T20:04:45,Subscribe me and i subscribe you back!!ï»¿,1,2,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1
155,tonya parker,2014-09-21T23:01:03,This is the best of the best video in world!!!!!!!!!!!!!!!!!!!!!!!!!!!!!ï»¿,0,2,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0
156,Mardhy Hassan,2014-10-19T14:59:26,why tiger succumbs to a beautiful girl ?.probably male tiger.....????   ha.ha.ha..ï»¿,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
157,TopMusicWorld HD,2014-10-19T23:27:50,Please Subscribe In My Channel â†’ï»¿,1,2,1,1,-1,1,-1,-1,-1,-1,-1,-1,1
158,Mehmet ErtuÄŸrul Tohumcu,2014-10-03T15:28:05,https://www.facebook.com/pages/Komedi-burda-gel/775510675841486ï»¿,1,2,-1,-1,1,-1,-1,-1,0,-1,-1,-1,1
159,Jack El Matador,2014-09-02T18:54:01,"should not have paused the music, this is a clip, not a movie.ï»¿",0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
160,Miguel Del Valle,2014-08-26T02:44:42,http://9gag.com/gag/aAVpwj9/ =)ï»¿,1,2,-1,-1,1,-1,-1,-1,0,-1,-1,0,0
161,MarianMusicChannel,2014-08-24T03:57:52,"Hello! I'm Marian, I'm a singer from Venezuela! I was part of a boy-girl band named cubik, and I'm now singing on my own  'cause I wanted to play my own pop and pop-rock songs.  It would mean a lot if you could have a look at my channel to check my  music and watch my new video!! and if u like, subscribe to it! XOXO THANKS!!  PS: if you like a lot my channel, you can share it with your friends!!  Haha!! LOL MARIANï»¿",1,2,1,1,-1,-1,0,-1,-1,-1,-1,0,0
162,Jack Other,2014-08-18T18:05:37,http://www.amazon.com/Knight-Dawn-cursed-Daniel-N-ebook/dp/B00MPPQHRI/ref=sr_1_7?s=digital-text&amp;%3Bie=UTF8&amp;%3Bqid=1408122684&amp;%3Bsr=1-7&amp;%3Bkeywords=knight&amp;tag=wattpad-20     some people are very talented but some are more talented but there is no  sponsorï»¿,1,2,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0
163,Î‘Î“Î›Î‘ÎªÎ‘ Î›Î•Î Î¤ÎŸÎšÎ‘Î¡Î™Î”ÎŸÎ¥,2014-10-24T17:41:52,:-D â™ªâ™ªâ™ª This is my favorite song â™¥ï»¿,0,2,1,-1,-1,-1,0,-1,-1,-1,-1,0,0
164,Ed Diamond,2014-10-17T16:41:35,"Man she is hot in this one, male companions visit my profile to check out  the coolest sextoy ever made!ï»¿",1,2,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1
165,Lil Misme,2014-08-09T03:01:25,Hey Guys this is Glamour Beauty! I just started my youtube channel please  go check it out! I'm going to post singing videos and also random videos  that I fell like! Please go to subscribe! More to come soon!. Remember to  subscribe!ï»¿,1,2,1,1,-1,1,-1,1,-1,-1,-1,0,1
166,Christopher Pete S.,2014-09-07T22:39:21,Subscribe and u are gonna hear me roar ;)ï»¿,1,2,-1,1,-1,-1,-1,-1,-1,0,-1,0,0
167,Charles Baptist,2014-08-20T20:18:13,Help Please!!  http://www.gofundme.com/RJanimalcareï»¿,1,2,-1,-1,1,1,-1,-1,0,-1,-1,-1,1
168,Ø§Ø­Ù,,,,,,,,,,,,,,,
Ø¯ Ø§Ù„Ù‡ÙˆØ§Ø±Ù‰,2014-10-24T09:55:30,(( rapid facebook )) the free version of all colors and is characterized by  fast and beauty download now https://play.google.com/store/apps/details?id=com.rapid.facebook.magicdroidï»¿,1,2,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,
169,Harrison Lloyd,2014-09-16T20:32:46,Imagine this in the news crazy woman found acting like a tiger and bit jims  ear offï»¿,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
170,Gasser ElLord,2014-10-05T13:59:39,That's Good :)ï»¿,0,2,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0
171,MR magic man,2014-09-25T10:42:47,Please look at my channelï»¿,1,2,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1
172,Darth Vaderbro,2014-09-20T00:05:45,If interested in making extra money by internet use the next link www.swagbucks.com/refer/Nonturtle02ï»¿,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
173,Shaun Mac,2014-10-26T20:10:46,Also LuckyMusiqLive she probably could help u make it big because I think u  have talent. Just look her name up on the internet. Hit me up when u get  this messageï»¿,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
174,Serj Cat,2014-11-06T20:04:45,"Nature is beautiful, no need to place tits in video to impress people.ï»¿",0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
175,LuckyMusiqLive,2014-09-15T17:47:57,Katy has the voice of gold. this video really brings the lyrics to life. I  am a rapper with 25000 subscribers.. thumbs up if you hate when you take a  shit and the water splashes your nutsï»¿,1,2,-1,1,-1,-1,-1,-1,-1,-1,-1,0,1
176,jessica durham,2014-09-09T06:10:07,"Please help me give my son a grave.  http://www.gofundme.com/BishopsGraveMarker Or please just share it on your  fb page, I do not have one anymore.ï»¿",1,2,1,-1,1,1,-1,-1,-1,-1,-1,-1,1
177,J MP,2014-09-19T14:15:13,https://viralangels.com/user/d4aaacwkï»¿,1,2,-1,-1,1,-1,-1,-1,0,-1,-1,-1,0
178,Steve Gallagher,2014-09-13T15:05:12,Maybe the best music video in the last 15 years? This is how pop music is  done folks!ï»¿,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
179,Nerdy Peach,2014-10-29T22:44:41,Hey! I'm NERDY PEACH and I'm a new youtuber and it would mean THE ABSOLUTE  world to me if you could check 'em out! &lt;3  Hope you like them! =Dï»¿,1,2,-1,-1,-1,-1,-1,1,-1,-1,-1,0,1
180,Bruno Alderete,2014-11-02T14:15:55,EVERYBODY PLEASE VOTE KATY AT EMA 2014 !!!!!  Best song  Best female Best pop Best live Best look  Best video  PLEASE VOTE KATY !!!!! PLEASE PLEASE PLEASE !!!!! VOTE VOTE VOTE !!!!! KATY KATY KATY !!!!!ï»¿,1,2,-1,-1,-1,1,0,-1,-1,-1,-1,-1,1
181,Oreja Ramanauskaite,2014-11-08T20:37:45,https://www.tsu.co/ToMeks Go register ;) free money;)ï»¿,1,2,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0
182,Sofi Duarte,2014-09-10T23:34:14,3:46 so cute!ï»¿,0,2,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0
183,hassan ss,2014-11-05T11:36:42,https://www.facebook.com/photo.php?fbid=313454548839369&amp;set=a.207230212795137.1073741825.100005244783212&amp;type=1&amp;theater  1111111111111111111ï»¿,1,2,-1,-1,1,-1,-1,-1,0,-1,-1,-1,1
184,Salena Oneal,2014-10-16T12:24:32,If you looking for new music to listen to check out cece song called  dead2me on iTunes music video out now right here on youtube.ï»¿,1,2,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0
185,David Sean,2014-09-15T10:53:46,"Hey guys! I've made a amazing Smiley T-Shirt.Of all the things you wear,  your expression is the most important and remember all the statistics in  the world canâ€™t measure the warmth of a smile. If you're a big fan of  T-Shirts and want to gets more happiness, it's perfect for you.  Check this  out and buy it at www.teespring.com/smiley12 =)) thanks you guys so  much!!! ï»¿",1,2,-1,-1,-1,-1,-1,1,-1,-1,-1,0,0
186,Brandon Tomlin,2014-10-17T18:34:08,Like my page please...  https://m.facebook.com/Dreaddis?ref=m_notifÂ¬if_t=fbpage_fan_invite&amp;actorid=1442646731  ï»¿,1,2,1,-1,1,1,-1,-1,-1,-1,-1,-1,1
187,Fazeela Boodoo,2014-11-06T13:44:00,It looks so real and my daughter is a big fan and she likes a lot of your  songs.ï»¿,0,2,1,-1,-1,-1,0,-1,-1,-1,-1,-1,0
188,ELPaso1990TX,2014-11-05T17:37:25,I'd rather hear some propa explicit gangsta rap insted of this garbage.  This song is trash !ï»¿,0,2,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0
189,Big BossVEVO,2014-09-22T17:26:19,follow me on instagram bigboss286ï»¿,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
190,desing,2014-10-08T07:19:15,Who else would give Katy perry a good old mighty roar? ;)ï»¿,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
191,RezAIIDay,2014-11-05T22:50:58,Such a good song ans Katy sounds great over the melody. Im growing as an  artist everyday from my hit song 'CRAZY' which has got my name out there.  cant thank my fans more for their support. If you could take a moment? to  check it and my music? maybe you'll join me to make my dream come true :)  thank you for your timeï»¿,1,2,1,-1,-1,-1,0,-1,-1,-1,-1,0,0
192,Marieke Sp33lma,2014-09-16T12:53:43,Watch my videos xxï»¿,1,2,1,-1,-1,-1,-1,-1,0,-1,-1,-1,0
193,Ella-Grace Aldred,2014-10-13T10:58:22,Is that tiger called 'Katty Purry'?ï»¿,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
194,Emma C,2014-09-18T22:27:19,i am a big fan of you and i love youï»¿,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
195,MrCollinGabriel,2014-09-20T00:50:13,"This is fucking shit. From the first notes, that becomes clear. Complete  and utter shit. May God come and cleanse the earth of the complete and  utter idiocy which is humankind.ï»¿",0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
196,Gram Bangla,2014-09-12T09:03:16,WOW VERY NICE CONGRASULATION I LIVE SO MUCH http://en.prothom-alo.com/sport/news/53331/Zimbabwe-A-team-due-in-Dhaka-Wednesday ï»¿,1,2,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0
197,Bobby Carlos,2014-11-06T16:30:30,"Lets be honest, you wouldn't last 1 day on your own in the jungle. Stop  living n a fairy world.ï»¿",0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
198,Jackson Heber,2014-11-01T17:28:29,I love katty perryï»¿,0,2,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0
199,Matt Twine,2014-10-10T16:24:57,Nice song .See my new track.ï»¿,1,2,1,-1,-1,-1,0,-1,-1,-1,-1,0,0
200,tombraiderxXx12,2014-09-07T18:38:10,I'm not a big fan of the song but this video is awesome!ï»¿,0,2,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0
201,Taina Boaventura,2015-06-04T17:16:09,curti? click here ?  https://www.facebook.com/demiilovatofas?ref=hl   https://www.facebook.com/pages/Frases-Secretas/448800865296855?ref=hlï»¿,1,2,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1
202,alin silviu lazar,2014-10-05T15:13:27,http://www.googleadservices.com/pagead/aclk?sa=L&amp;ai=CSyOEB1wxVPCfL7D27AbGpYDgBJDPm6IH6MHu05wBgJXbv8sBEAEgkN7lJVCF7byH_f____8BYIOFgICAHKABsKG31wPIAQKpAh_KmC0hBpM-qAMByAPBBKoEkwFP0KullxqI1MG6o43HVzE-eFMqRG4Tu5LLBU_fsZ8gn0HBkJhBX-m83W1TS3_3Dx_HwPdX1Kazsj8o7SIEcVJjmBNsWyiJEcqvHXLbdzStUBOFaloYInWm0_rOOCppS2AuAT6zguICKm0lI83duwMAbzqvenE8TRfAzOrltBb037VzYv_XI4hBNQ2nvh19MrBgE0SIBgGgBgKAB7jeyCg&amp;num=1&amp;cid=5Ggs_m_9mA3TI40fS6mVPICS&amp;sig=AOD64_1OFC7Seh_1pOp-jYrbS7X6-heeNQ&amp;client=ca-pub-8252267209931889&amp;adurl=http://blog.2parale.ro/2014/10/challenge-pentru-afiliati-aplica-la-noile-programe-de-afiliere-si-fii-business-boomerul-lunii/&amp;nm=2&amp;mb=2&amp;bg=!A0QoUc7Q48v3_QIAAABpUgAAACsqAR0_VgOQWQxjmPUyvKoSf3K-q1BvKf9ZE4jhNC3ovckKxCbAFzZpAJiBXWBvVq4jrDgZ8q3rInlwgaBy_bXlfw7ma6dk0RJG14ZkRyizwqdi7HxgGE9tNDD9abflTFkBMbFfcJixNtHwbwkJ6N2onLH2D9EvEagPhoEwXOgBnu5ibgtRkgnAcQ1OIbgMzgAFNSc0lsaRiqj8HQR8T12dWv_7biY4k6I3y4yubloTdE_4XVKlnVeADZzF1L_xRYQkE6Wsur3EdLJWGk8fLq_QALdI-wAzNuysgqjNRDY6VucKLplZONyiSdKc9ebX-0dbHjZdW0LbsJBi40gXm0D0p5KRhv8XInQlI53__wQBaHS8zX4MJHw5vWrkPXFOeKs ï»¿,1,2,-1,-1,1,1,-1,-1,0,-1,-1,-1,1
203,Î›Ï,,,,,,,,,,,,,,,
Î´Î¯Î± Î“Îº,2014-09-30T16:18:44,She's awesome XDï»¿,0,2,-1,-1,-1,-1,-1,-1,0,0,0,0,0,
204,Caitlin Hepton,2014-11-07T21:02:30,i like this song because of all the animals and i like this song .ï»¿,0,2,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0
205,nailey nicool,2014-09-25T20:24:40,https://www.facebook.com/pages/Nailey-nicool/629410220489046?ref=hl like  meeï»¿,1,2,-1,-1,1,-1,-1,-1,0,-1,-1,-1,1
206,Magic Man,2014-10-06T19:57:32,DOWNLOAD RAPID FACEBOOK FOR FREE NOW https://play.google.com/store/apps/details?id=com.rapid.facebook.magicdroidï»¿,1,2,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0
207,ocean pacific,2014-08-30T23:08:02,The new Makeup Transformation with Integrated Look-A-Like Feature now  available in Ver 1.13! Do you know who you look like? Install or update  your version of Makeup Transformation  https://play.google.com/store/apps/details?id=com.yourelink.makeuptransformation  or visit Google Play.ï»¿,1,2,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1
208,Alain Marius,2014-10-30T16:19:21,http://vimeo.com/106865403ï»¿,1,2,-1,-1,1,-1,-1,-1,0,-1,-1,-1,0
209,BIANCA FLORENTINA MANTA,2014-11-07T11:25:13,Katy Perry is lionï»¿,0,2,-1,-1,-1,-1,-1,-1,0,0,-1,-1,0
210,Ari4Cortez5Ortiz 9Uria,2014-09-18T15:57:36,Katty perry please say in one of your new videoes that they follow the  Girls Girls pleaseï»¿,1,2,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1
211,Jouri Osman,2014-09-13T15:05:13,I love KATY PERRY &lt;3 &lt;3ï»¿,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
212,TWIN MELODY,2014-09-02T19:57:01,"HI!:D!:) Weâ€™ re TWIN MELODY ,17 year old twins :) WE DID SOME COVERS!!WE DID A COVER OF BIRTHDAY BY KATY PERRY!!  PLEASE JUST TAKE 1 SECOND AND WATCH IT!! THANKS,MERCI,GRACIAS,DANKE,OBRIGADO,GRAZIE â€¦.    !!!  &lt;3  XX HAVE A NICE DAY!!:Dï»¿",1,2,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0
213,Technibility,2014-09-12T21:08:47,Great video by a great artist in Katy Perry! Admire her creativity! Check  out our channel for no nonsense mobile tech reviews and comparisons as well  as an iPhone 6 and 6 Plus review and comparison!ï»¿,1,2,-1,-1,-1,-1,-1,1,-1,-1,-1,0,0
214,Tiny Tim,2014-10-11T02:28:19,What does that tattoo on her right tricep say?ï»¿,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
215,IMustKillGoogle+,2014-10-25T20:10:35,Glad to know im not the only one who knows its katheryn's birthday today :)  happy birthday katy...and my sister. (they seriously have the same  birthday...)ï»¿,0,2,1,-1,-1,-1,-1,-1,-1,-1,-1,0,1
216,Kasia Fabisiewicz,2015-06-05T19:02:05,&lt;3ï»¿,0,2,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0
217,sreekrishna praveen,2014-10-31T07:37:32,i love you katy perry because you will sing nice than shakiraï»¿,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
218,monal shah,2014-11-10T09:00:34,"https://apps.facebook.com/my-polls/utsitcompetition2014?from=user_link&amp;ref_id=ouxg5e .  Please open this link and vote for  anand niketan international school, the  project name is project Fr-e-dom and share it with  yours friend.ï»¿",1,2,1,-1,1,1,-1,-1,-1,-1,-1,-1,1
219,Bi - Bases of Image [Musical videos],2014-10-15T11:02:31,Visit my channelï»¿,1,2,1,-1,-1,-1,-1,-1,0,-1,-1,-1,1
220,Annie Trace,2014-10-06T16:13:36,If only I had the body like Katy Perry :)). She looks so hot. I love her  ^^!ï»¿,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
221,subscrool,2014-10-21T15:07:11,"666,002,018 views! 666 million. 666! Katy Perry illuminati confirmed!!!ï»¿",0,2,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0
222,Radiovarietyshow,2014-09-27T20:00:52,"I hear this all the time on radio and its really irritating. That being  said, i like the videoï»¿",0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
223,Truc Ng,2014-11-04T13:13:28,https://www.facebook.com/myfunnyriddlesï»¿,1,2,1,-1,1,-1,-1,-1,0,-1,-1,-1,1
224,Emilie Tifani,2014-09-29T15:33:59,j aiiima plzzz  https://www.facebook.com/pages/%C3%89c%C3%B8l%CE%B5-al-ma%CE%B7b%CE%B5t/302703146601369 ï»¿,1,2,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1
225,Jennika Chua,2014-08-11T13:38:22,https://www.facebook.com/photo.php?v=4483179854075&amp;set=vb.1727483389&amp;type=2&amp;theater ï»¿,1,2,-1,-1,1,-1,-1,-1,0,-1,-1,-1,0
